entry_id,date,utr,narration,credit,debit,balance,channel
bnk_127,2026-08-04,RZP518264390725,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP518264390725-NODAL,4881.02,0.0,1526000.0,NEFT
bnk_128,2026-08-04,RZP709761138617,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP709761138617-NODAL,11716.8,0.0,1527000.0,NEFT
bnk_129,2026-08-04,RZP847816305483,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP847816305483-NODAL,4881.02,0.0,1528000.0,NEFT
bnk_130,2026-08-05,RZP221720126831,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP221720126831-NODAL,1463.62,0.0,1529000.0,NEFT
bnk_131,2026-08-05,RZP390853813771,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP390853813771-NODAL,4881.02,0.0,1530000.0,NEFT
bnk_132,2026-08-05,RZP790933616150,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP790933616150-NODAL,1463.62,0.0,1531000.0,NEFT
bnk_133,2026-08-05,RZP268358041225,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP268358041225-NODAL,1463.62,0.0,1532000.0,NEFT
bnk_134,2026-08-05,RZP103944899549,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP103944899549-NODAL,4881.02,0.0,1533000.0,NEFT
bnk_135,2026-08-05,RZP438472520493,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP438472520493-NODAL,975.42,0.0,1534000.0,NEFT
bnk_136,2026-08-05,RZP189966462838,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP189966462838-NODAL,487.22,0.0,1535000.0,NEFT
bnk_137,2026-08-05,RZP937424066816,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP937424066816-NODAL,4881.02,0.0,1536000.0,NEFT
bnk_138,2026-08-05,RZP282750014896,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP282750014896-NODAL,1463.62,0.0,1537000.0,NEFT
bnk_139,2026-08-05,RZP931244947195,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP931244947195-NODAL,7323.0,0.0,1538000.0,NEFT
bnk_140,2026-08-05,RZP815849444665,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP815849444665-NODAL,1463.62,0.0,1539000.0,NEFT
bnk_141,2026-08-05,RZP371102648727,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP371102648727-NODAL,975.42,0.0,1540000.0,NEFT
bnk_142,2026-08-06,RZP708117155426,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP708117155426-NODAL,975.42,0.0,1541000.0,NEFT
bnk_143,2026-08-06,RZP877693993558,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP877693993558-NODAL,7323.0,0.0,1542000.0,NEFT
bnk_144,2026-08-06,RZP138248487718,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP138248487718-NODAL,11716.8,0.0,1543000.0,NEFT
bnk_145,2026-08-06,RZP405964900141,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP405964900141-NODAL,7323.0,0.0,1544000.0,NEFT
bnk_146,2026-08-06,RZP895137224815,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP895137224815-NODAL,4881.02,0.0,1545000.0,NEFT
bnk_147,2026-08-06,RZP623060957599,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP623060957599-NODAL,11716.8,0.0,1546000.0,NEFT
bnk_148,2026-08-06,RZP821970820395,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP821970820395-NODAL,2440.02,0.0,1547000.0,NEFT
bnk_149,2026-08-06,RZP158965931802,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP158965931802-NODAL,7323.0,0.0,1548000.0,NEFT
bnk_150,2026-08-06,RZP472494841003,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP472494841003-NODAL,11716.8,0.0,1549000.0,NEFT
bnk_151,2026-08-06,RZP689227460591,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP689227460591-NODAL,2440.02,0.0,1550000.0,NEFT
bnk_152,2026-08-06,RZP608002483225,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP608002483225-NODAL,975.42,0.0,1551000.0,NEFT
bnk_153,2026-08-06,RZP151960122341,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP151960122341-NODAL,7323.0,0.0,1552000.0,NEFT
bnk_154,2026-08-07,RZP202946055043,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP202946055043-NODAL,11716.8,0.0,1553000.0,NEFT
bnk_155,2026-08-07,RZP630366790167,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP630366790167-NODAL,975.42,0.0,1554000.0,NEFT
bnk_156,2026-08-07,RZP101627677155,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP101627677155-NODAL,2440.02,0.0,1555000.0,NEFT
bnk_157,2026-08-07,RZP565081604082,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP565081604082-NODAL,7323.0,0.0,1556000.0,NEFT
bnk_158,2026-08-07,RZP269593962361,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP269593962361-NODAL,975.42,0.0,1557000.0,NEFT
bnk_159,2026-08-07,RZP909941412032,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP909941412032-NODAL,4881.02,0.0,1558000.0,NEFT
bnk_160,2026-08-07,RZP151785130539,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP151785130539-NODAL,4881.02,0.0,1559000.0,NEFT
bnk_161,2026-08-07,RZPBAT0131130263,NEFT-RAZORPAY SETTLEMENT BATCH-RZPBAT0131130263-CMS POOL,13278.06,0.0,2500000.0,NEFT
bnk_162,2026-08-08,RZPBAT0296637649,NEFT-RAZORPAY SETTLEMENT BATCH-RZPBAT0296637649-CMS POOL,20943.78,0.0,2500000.0,NEFT
bnk_163,2026-08-09,RZPBAT0323903144,NEFT-RAZORPAY SETTLEMENT BATCH-RZPBAT0323903144-CMS POOL,11226.64,0.0,2500000.0,NEFT
bnk_164,2026-08-11,RZPGHST1041531046,NEFT-RAZORPAY-RZPGHST1041531046-MERCHANT-AUTO-PAY,1951.82,0.0,3100000.0,NEFT
bnk_165,2026-08-11,RZPGHST3373077218,NEFT-RAZORPAY-RZPGHST3373077218-MERCHANT-AUTO-PAY,3221.14,0.0,3100000.0,NEFT
bnk_166,2026-08-11,RZPGHST1547374338,NEFT-RAZORPAY-RZPGHST1547374338-MERCHANT-AUTO-PAY,3221.14,0.0,3100000.0,NEFT
bnk_167,2026-08-11,RZPGHST2536778950,NEFT-RAZORPAY-RZPGHST2536778950-MERCHANT-AUTO-PAY,4783.38,0.0,3100000.0,NEFT
bnk_168,2026-08-11,RZPGHST5736462531,NEFT-RAZORPAY-RZPGHST5736462531-MERCHANT-AUTO-PAY,4783.38,0.0,3100000.0,NEFT
bnk_169,2026-08-12,RZPGHST4993808565,NEFT-RAZORPAY-RZPGHST4993808565-MERCHANT-AUTO-PAY,1951.82,0.0,3100000.0,NEFT
bnk_170,2026-08-13,RZPFEE4482238042,NEFT-RAZORPAY INDIA-RZPFEE4482238042-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_171,2026-08-13,RZPFEE1106456634,NEFT-RAZORPAY INDIA-RZPFEE1106456634-INTL SETTLEMENT,14469.0,0.0,3400000.0,NEFT
bnk_172,2026-08-13,RZPFEE9265609985,NEFT-RAZORPAY INDIA-RZPFEE9265609985-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_173,2026-08-13,RZPFEE4482141802,NEFT-RAZORPAY INDIA-RZPFEE4482141802-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_174,2026-08-13,RZPFEE4011966884,NEFT-RAZORPAY INDIA-RZPFEE4011966884-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_175,2026-08-13,RZPFEE4745927824,NEFT-RAZORPAY INDIA-RZPFEE4745927824-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_176,2026-08-13,RZPFEE1955345537,NEFT-RAZORPAY INDIA-RZPFEE1955345537-INTL SETTLEMENT,8199.1,0.0,3400000.0,NEFT
bnk_177,2026-08-14,RZPFEE6796738787,NEFT-RAZORPAY INDIA-RZPFEE6796738787-INTL SETTLEMENT,4823.0,0.0,3400000.0,NEFT
bnk_178,2026-08-15,RZPREF1957449367,NEFT-RAZORPAY-RZPREF1957449367-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_179,2026-08-15,RZPREF3834820954,NEFT-RAZORPAY-RZPREF3834820954-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_180,2026-08-15,RZPREF7006365648,NEFT-RAZORPAY-RZPREF7006365648-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_181,2026-08-15,RZPREF8616379926,NEFT-RAZORPAY-RZPREF8616379926-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_182,2026-08-15,RZPREF7482848011,NEFT-RAZORPAY-RZPREF7482848011-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_183,2026-08-15,RZPREF1118543408,NEFT-RAZORPAY-RZPREF1118543408-ADJUSTED REFUND NET,2905.6,0.0,3600000.0,NEFT
bnk_184,2026-08-18,AXISN7161404428,IMPS/AXISN7161404428/B2B_DIRECT_VENDOR_PAYMENT_XYZ_LTD,80000.0,0.0,4200000.0,IMPS
bnk_185,2026-08-18,AXISN5791662169,IMPS/AXISN5791662169/B2B_DIRECT_VENDOR_PAYMENT_XYZ_LTD,45000.0,0.0,4200000.0,IMPS
bnk_186,2026-08-18,AXISN2094024844,IMPS/AXISN2094024844/B2B_DIRECT_VENDOR_PAYMENT_XYZ_LTD,120000.0,0.0,4200000.0,IMPS
bnk_187,2026-08-18,AXISN9597198563,IMPS/AXISN9597198563/B2B_DIRECT_VENDOR_PAYMENT_XYZ_LTD,45000.0,0.0,4200000.0,IMPS
